gene,in_ResLit,in_ResFinder,in_CARD,in_RefGeneCatalog,num_databases
aaa25,True,False,False,False,1
aaa61,True,False,False,False,1
aac c,True,False,False,False,1
aac c2,True,False,False,False,1
aac(2)-i(a267),False,False,False,True,1
aac(2)-ia,True,True,True,True,4
aac(2)-ib,True,True,True,True,4
aac(2)-ic,True,True,True,True,4
aac(2)-id,True,True,True,True,4
aac(2)-ie,True,True,True,True,4
aac(2)-iia,True,True,True,True,4
aac(2)-iib,True,False,True,True,3
aac(2)-n-acetyltransferase,True,False,False,False,1
aac(3)-c1264,True,False,False,True,2
aac(3)-c322,False,False,False,True,1
aac(3)-i,True,True,False,True,3
aac(3)-ia,True,True,True,True,4
aac(3)-ib,True,True,True,True,4
aac(3)-ib-aac(6)-ib,False,True,False,False,1
aac(3)-ic,True,True,True,True,4
aac(3)-id,True,True,True,True,4
aac(3)-if,False,True,False,True,2
aac(3)-ig,False,True,False,True,2
aac(3)-ih,False,True,False,True,2
aac(3)-ii,True,True,False,True,3
aac(3)-iia,True,True,True,True,4
aac(3)-iib,True,True,True,True,4
aac(3)-iic,True,True,True,True,4
aac(3)-iid,True,True,True,True,4
aac(3)-iie,True,True,True,True,4
aac(3)-iig,True,False,True,True,3
aac(3)-iiia,True,True,True,True,4
aac(3)-iiib,True,True,True,True,4
aac(3)-iiic,False,True,True,True,3
aac(3)-iva,True,True,True,True,4
aac(3)-ivb,True,False,True,True,3
aac(3)-ixa,True,True,True,True,4
aac(3)-via,True,True,True,True,4
aac(3)-viia,True,True,True,True,4
aac(3)-viii,True,True,True,True,4
aac(3)-xa,True,True,True,True,4
aac(3)-xi,True,True,False,True,3
aac(3)iab,True,False,False,False,1
aac(3)lld,True,False,False,False,1
aac(4)-iia,True,False,False,False,1
aac(6),True,True,True,True,4
aac(6)-29,False,True,True,True,3
aac(6)-30,True,True,True,True,4
aac(6)-30-aac(6)-ib,False,True,False,False,1
aac(6)-31,True,True,True,True,4
aac(6)-35,False,False,False,True,1
aac(6)-aph(2)-la,True,False,False,False,1
aac(6)-bl-cr,True,False,False,False,1
aac(6)-d292,False,False,False,True,1
aac(6)-d42,False,False,False,True,1
aac(6)-e111,False,False,False,True,1
aac(6)-e141,False,False,False,True,1
aac(6)-e449,False,False,False,True,1
aac(6)-e526,False,False,False,True,1
aac(6)-e550,False,False,False,True,1
aac(6)-e553,False,False,False,True,1
aac(6)-e606,False,False,False,True,1
aac(6)-e64,False,False,False,True,1
aac(6)-e657,False,False,False,True,1
aac(6)-e963,False,False,False,True,1
aac(6)-f309,False,False,False,True,1
aac(6)-f72,False,False,False,True,1
aac(6)-i,True,True,True,True,4
aac(6)-ia,True,True,True,True,4
aac(6)-iad,True,True,True,True,4
aac(6)-iak,True,True,True,True,4
aac(6)-ian,True,True,True,True,4
aac(6)-iap,True,False,True,True,3
aac(6)-ib,True,True,True,True,4
aac(6)-ib-cr,True,True,True,True,4
aac(6)-ib11,True,True,True,True,4
aac(6)-id,True,False,False,True,2
aac(6)-ie/aph(2),True,True,True,True,4
aac(6)-if,True,True,True,True,4
aac(6)-ii,True,True,True,False,3
aac(6)-iia,True,True,True,True,4
aac(6)-iic,True,True,True,True,4
aac(6)-iii,False,False,False,True,1
aac(6)-il,True,True,True,True,4
aac(6)-im,True,True,True,True,4
aac(6)-ip,True,True,True,True,4
aac(6)-iq,True,True,True,True,4
aac(6)-iz,True,True,True,True,4
aac(6)-kana,False,False,False,True,1
aac(6)-lb-104r,True,False,False,False,1
aac(6)-lb-104w,True,False,False,False,1
aac(6)-lb-181y,True,False,False,False,1
aac(6)-lb-cr,True,False,False,False,1
aac(6)-le-aph(2)-la,True,False,False,False,1
aac(6)_serra,True,False,False,False,1
aac(6)iaa,True,False,False,False,1
aac(6)ib4,True,False,False,False,1
aac(6)ie-aph(2)ia,True,False,False,False,1
aac(6)ie-aph(2″)ia,True,False,False,False,1
aac(6)lb-cr,True,False,False,False,1
aac(69)-ib-cr,True,False,False,False,1
aac(6a)-ib,True,False,False,False,1
aac-(6)-lb-cr,True,False,False,False,1
aac-6-ia + aph-2,True,False,False,False,1
aac-d,True,False,False,False,1
aac4,True,False,False,False,1
aac6_30/aac6_ib,False,False,True,False,1
aac6_ib_hz,False,True,True,False,2
aac6_ie/aph2_ia,False,False,True,False,1
aac6p-ib-b6,True,False,False,False,1
aac_3ib/aac_6ib,False,False,True,False,1
aac_6_ib_su,False,True,True,False,2
aaca10,True,False,False,True,2
aaca32,True,False,False,True,2
aaca34,False,False,False,True,1
aaca37,False,False,False,True,1
aaca38,False,False,False,True,1
aaca4,True,False,False,False,1
aaca40,False,False,False,True,1
aaca43,True,True,True,True,4
aaca48,False,True,True,True,3
aaca49,False,False,False,True,1
aaca57-2,True,False,False,True,2
aaca8,False,False,False,True,1
aacc,True,False,False,False,1
aacc(3),True,False,False,False,1
aacc(3)-1,True,False,False,False,1
aacc1,True,False,False,False,1
aacc2,True,False,False,False,1
aacc2a,True,False,False,False,1
aacc2d,True,False,False,False,1
aacc3,True,False,False,False,1
aacc4,True,False,False,False,1
aacc5,True,False,False,False,1
aacc7,True,False,False,False,1
aad(6),False,False,True,False,1
aad9,True,False,False,True,2
aada 22_b,True,False,False,False,1
aada 24,True,False,False,False,1
aada-01,True,False,False,False,1
aada-02,True,False,False,False,1
aada-03,True,False,False,False,1
aada1,True,True,True,True,4
aada10,True,True,True,True,4
aada11,True,True,True,True,4
aada12,True,True,True,True,4
aada13,True,True,True,True,4
aada15,True,True,True,True,4
aada16,True,True,True,True,4
aada1a,True,False,False,False,1
aada1bt,True,True,False,True,3
aada1y,True,False,False,False,1
aada2,True,True,True,True,4
aada21,True,True,True,True,4
aada22,True,True,True,True,4
aada23,True,True,True,False,3
aada24,True,True,True,False,3
aada25,True,False,True,True,3
aada27,True,False,True,True,3
aada2b,True,True,False,False,2
aada2cmla,True,False,False,False,1
aada3,True,True,True,True,4
aada31,True,False,False,True,2
aada33,True,False,False,True,2
aada36,True,False,False,True,2
aada37,True,False,False,True,2
aada4,True,True,True,True,4
aada5,True,True,True,True,4
aada6,True,True,True,True,4
aada6/aada10,False,False,True,False,1
aada7,True,True,True,True,4
aada7_1,True,False,False,False,1
aada8,True,True,True,True,4
aada8b,True,True,True,False,3
aada9,True,True,True,True,4
aadb,True,False,False,False,1
aadd1,True,True,True,True,4
aadd2,True,True,True,True,4
aade,True,True,False,True,3
aade-cc,True,True,False,True,3
aade1,True,False,False,False,1
aade2,True,False,False,False,1
aade3,True,False,False,False,1
aadk,True,True,True,True,4
aads,True,False,True,True,3
aadt,True,False,True,True,3
aap3,True,False,False,False,1
aarf,True,False,False,False,1
aba q,True,False,False,False,1
abaf,True,False,True,True,3
abai,True,False,False,False,1
abaq,True,False,True,False,2
abar,True,False,False,False,1
abc-f,True,False,False,False,1
abc1,True,False,False,False,1
abc10,True,False,False,False,1
abc11,True,False,False,False,1
abc2,True,False,False,False,1
abc3,True,False,False,False,1
abc8,True,False,False,False,1
abc9,True,False,False,False,1
abc_29,True,False,False,False,1
abca,False,False,True,False,1
abe s,True,False,False,False,1
abem,True,False,True,False,2
abes,True,False,True,False,2
abuo,True,False,True,False,2
acc c4,True,False,False,False,1
acca,True,False,False,False,1
accb,True,False,False,False,1
accc,True,False,False,False,1
accd1,True,False,False,False,1
accd5,True,False,False,False,1
accd6,True,False,False,False,1
acce5,True,False,False,False,1
ace,True,False,False,False,1
ace1a,True,False,False,False,1
acef,True,False,False,False,1
acei,True,False,False,False,1
acit,True,False,False,False,1
acka,True,False,False,False,1
acna,True,False,False,False,1
acnb,True,False,False,False,1
acor,True,False,False,False,1
acr a,True,False,False,False,1
acr d,True,False,False,False,1
acr2,True,False,False,False,1
acr3,True,False,False,False,1
acra,True,False,True,False,2
acrab,True,False,False,False,1
acrb,True,False,True,False,2
acrd,True,False,True,False,2
acre,True,False,True,False,2
acref,True,False,False,False,1
acrf,True,False,True,True,3
acrs,True,False,True,False,2
acrz,True,False,False,False,1
act,False,False,True,False,1
actp,True,False,False,False,1
acui,True,False,False,False,1
ada,True,False,False,False,1
adaa1,True,False,False,False,1
adaa2,True,False,False,False,1
adda1,True,False,False,False,1
adda1-pm,True,False,False,False,1
ade a,True,False,False,False,1
ade f,True,False,False,False,1
ade g,True,False,False,False,1
ade h,True,False,False,False,1
ade i,True,False,False,False,1
ade j,True,False,False,False,1
ade k,True,False,False,False,1
adea,True,False,True,False,2
adeab,True,False,False,False,1
adeac,True,False,False,False,1
adeb,True,False,True,False,2
adec,True,False,True,True,3
aded,False,False,False,True,1
adede,True,False,False,False,1
adee,True,False,False,True,2
adef,True,False,True,False,2
adeg,True,False,True,False,2
adeh,True,False,True,False,2
adei,True,False,True,False,2
adej,True,False,True,False,2
adek,True,False,True,False,2
adel,True,False,True,False,2
aden,True,False,True,False,2
ader,True,False,True,False,2
aders,True,False,False,False,1
ades,True,False,True,False,2
adet1,True,False,False,False,1
adh,True,False,False,False,1
adok,True,False,False,False,1
afac,True,False,False,False,1
afta,True,False,True,False,2
ag85c,True,False,False,False,1
ahpf,True,False,False,False,1
aiia,True,False,False,False,1
ail,True,False,False,False,1
alas,True,False,False,False,1
alba,True,False,False,False,1
ald,True,False,True,False,2
aldb,True,False,False,False,1
algc,True,False,False,False,1
algx,True,False,False,False,1
algz,True,False,False,False,1
alme,True,False,True,True,3
almf,True,False,True,True,3
almg,True,False,True,True,3
alr,True,False,True,False,2
alst,True,False,False,False,1
amgk,True,False,False,False,1
amgrs,True,False,False,False,1
ami,True,False,False,False,1
amia,True,False,False,False,1
amib,True,False,False,False,1
amic,True,False,False,False,1
amie,True,False,False,False,1
amp(s),True,False,False,False,1
ampc,True,False,True,True,3
ampc-asob,False,False,False,True,1
ampc-ecan,False,False,False,True,1
ampc-kaer,False,False,False,True,1
ampc1,True,False,False,False,1
ampc2,True,False,False,False,1
ampc_sliq-1,False,False,False,True,1
ampd,True,False,False,False,1
ampdh2,True,False,False,False,1
ampdh3,True,False,False,False,1
ampe,True,False,False,False,1
ampg,True,False,False,False,1
amph,True,True,False,False,2
ampr,True,False,False,False,1
amps,True,True,False,False,2
amra,True,False,True,False,2
amrab,True,False,False,False,1
amrb,True,False,True,False,2
amrr,True,False,False,False,1
amva,True,False,True,True,3
anmk,True,False,False,False,1
ansb,True,False,False,False,1
ansp,True,False,False,False,1
ansp2,True,False,False,False,1
ant(2)-ia,True,True,True,True,4
ant(2n)-ia,True,False,False,False,1
ant(3) b,True,False,False,False,1
ant(3)-ia,True,True,True,True,4
ant(3)-ib,True,False,True,True,3
ant(3)-ic,True,False,False,True,2
ant(3)-ih/aac(6)-iid,True,True,True,True,4
ant(3)-ii-aac(6)-iid,True,True,False,False,2
ant(3)-iia,True,False,True,True,3
ant(3)-iib,False,False,True,True,2
ant(3)-iic,True,False,True,True,3
ant(3)-iid,True,False,False,True,2
ant(3)-ij/aac(6)-ib,False,False,False,True,1
ant(3)b,True,False,False,False,1
ant(3″)-ii-aac(6)-iid,True,False,False,False,1
ant(4)-ic,True,True,True,True,4
ant(4)-iia,True,True,True,True,4
ant(4)-iib,True,True,True,True,4
ant(4)ia,True,False,False,False,1
ant(6) fms-007,True,False,False,False,1
ant(6)-ia,True,True,True,True,4
ant(6)-ib,True,True,True,True,4
ant(6)-ic,False,False,False,True,1
ant(9)-ia,True,True,True,True,4
ant(9)-ib,True,False,True,True,3
ant(9)-ic,True,False,True,True,3
ant1,True,False,False,False,1
anta,True,False,False,False,1
antb,True,False,False,False,1
antc,True,False,False,False,1
aph(2)-g141,True,True,False,True,3
aph(2)-ie,True,True,True,True,4
aph(2)-if,True,True,True,True,4
aph(2)-ig,True,True,True,True,4
aph(2)-ih,True,True,False,True,3
aph(2)-ii,False,False,False,True,1
aph(2)-iia,True,True,True,True,4
aph(2)-iiia,True,True,True,True,4
aph(2)-iva,True,True,True,True,4
aph(3),False,False,True,False,1
aph(3) c,True,False,False,False,1
aph(3)-h48,True,False,True,True,3
aph(3)-h510,False,False,False,True,1
aph(3)-i(h957),False,False,False,True,1
aph(3)-ia,True,True,True,True,4
aph(3)-ib,True,True,True,True,4
aph(3)-ic,True,True,True,True,4
aph(3)-id,True,True,False,True,3
aph(3)-ie,True,False,False,True,2
aph(3)-ii,True,False,False,True,2
aph(3)-iia,True,True,True,True,4
aph(3)-iib,True,True,True,True,4
aph(3)-iic,True,True,True,True,4
aph(3)-iid,True,False,False,True,2
aph(3)-iiia,True,True,True,True,4
aph(3)-iva,True,True,True,True,4
aph(3)-ix,True,True,True,True,4
aph(3)-va,True,True,True,True,4
aph(3)-vb,False,True,True,True,3
aph(3)-vc,False,True,True,True,3
aph(3)-vi,True,True,False,True,3
aph(3)-via,True,True,True,True,4
aph(3)-vib,True,True,True,True,4
aph(3)-viia,True,True,True,True,4
aph(3)-viiia,True,True,True,True,4
aph(3)-viiib,False,True,True,True,3
aph(3)-xv,True,True,True,True,4
aph(3)c,True,False,False,False,1
aph(3)lb,True,False,False,False,1
aph(3)llb,True,False,False,False,1
"aph(3-ib, aph(6)-id",True,False,False,False,1
aph(33)-ib,True,False,False,False,1
aph(4)-ia,True,True,True,True,4
aph(5),True,False,False,False,1
aph(5)-id (str b),True,False,False,False,1
aph(6),True,True,False,True,3
aph(6)-ia,True,True,True,True,4
aph(6)-ib,True,True,True,True,4
aph(6)-ic,True,True,True,True,4
aph(6)-id,True,True,True,True,4
aph(7)-ia,True,True,True,True,4
aph(9)-ia,True,True,True,True,4
aph(9)-ib,False,True,True,True,3
aph1,True,False,False,False,1
aph3(stra),True,False,False,False,1
aph3/str(a),True,False,False,False,1
aph33ib,True,False,False,False,1
aph3pp_ib-2,True,False,False,False,1
aph51,True,False,False,False,1
aph6/str(b),True,False,False,False,1
apha 3,True,False,False,False,1
apha-3,True,False,False,False,1
apha-3-1,True,False,False,False,1
apha-3–1,True,False,False,False,1
apha1-ia,True,False,False,False,1
apha1-iab,True,False,False,False,1
apha15,True,False,False,False,1
apha16,True,False,False,True,2
apha1a,True,False,False,False,1
apha1b,True,False,False,False,1
apha2,True,False,False,False,1
apha3,True,False,False,False,1
apha6,True,False,False,False,1
apha6a,True,False,False,False,1
apha6b,True,False,False,False,1
apha7,True,False,False,False,1
aphb,True,False,False,False,1
apma,True,False,True,True,3
apra,True,False,False,False,1
apt,True,False,False,False,1
aqps,True,False,False,False,1
arac,True,False,False,False,1
arca,True,False,False,False,1
arcb,True,False,False,False,1
arcc,True,False,False,False,1
arcd,True,False,False,False,1
arda,True,False,False,False,1
ardb,True,False,False,False,1
arfb,True,False,False,False,1
argh,True,False,False,False,1
argj,True,False,False,False,1
args,True,False,False,False,1
arlr,True,False,True,False,2
arls,True,False,True,False,2
arma,True,True,True,True,4
armac,True,False,False,False,1
armr,True,False,True,False,2
arn a,True,False,False,False,1
arna,True,False,True,False,2
arnt,False,False,True,False,1
aroa,True,False,False,False,1
aroa_1,True,False,False,False,1
arog,True,False,False,False,1
arok,True,False,False,False,1
aroq,True,False,False,False,1
arp1,True,False,False,False,1
arp2,True,False,False,False,1
arp3,True,False,False,False,1
arpab,True,False,False,False,1
arr,True,True,True,True,4
arr-3,True,True,True,True,4
arr2,True,False,False,False,1
arsa,True,False,False,False,1
arsa1,True,False,False,False,1
arsa2,True,False,False,False,1
arsb,True,False,False,False,1
arsbc,True,False,False,False,1
arsbm,True,False,False,False,1
arsbn,True,False,False,False,1
arsc,True,False,False,False,1
arsc1,True,False,False,False,1
arsc2,True,False,False,False,1
arsc3,True,False,False,False,1
arsd,True,False,False,False,1
arsd_1,True,False,False,False,1
arsh,True,False,False,False,1
arsj,True,False,False,False,1
arsk,True,False,False,False,1
arsl,True,False,False,False,1
arsm,True,False,False,False,1
arsml,True,False,False,False,1
arsn1,True,False,False,False,1
arsq,True,False,False,False,1
arsr,True,False,False,False,1
arsr1,True,False,False,False,1
arsr2,True,False,False,False,1
arsr3,True,False,False,False,1
artq,True,False,False,False,1
asbb1,True,False,False,False,1
asd,True,False,False,False,1
asma,True,False,False,False,1
asna,True,False,False,False,1
asnb,True,False,False,False,1
asp23,True,False,False,False,1
aspb,True,False,False,False,1
aspc,True,False,False,False,1
asps,True,False,False,False,1
atpa,True,False,False,False,1
atpb,True,False,False,False,1
atpc,True,False,False,False,1
atpe,True,False,False,False,1
atpf,True,False,False,False,1
atpg,True,False,False,False,1
atph,True,False,False,False,1
avec4i,True,False,False,False,1
axyx,False,False,True,False,1
axyy,True,False,True,False,2
baca,True,False,True,False,2
baca_1,True,False,False,False,1
bacb,True,False,False,False,1
bacc,True,False,False,False,1
baer,True,False,False,False,1
baes,True,False,False,False,1
baga,True,False,False,False,1
baha,True,False,True,False,2
baicd,True,False,False,False,1
bama,True,False,False,False,1
bamb,True,False,False,False,1
bass,False,False,True,False,1
bc2h,True,False,False,False,1
bcea,True,False,False,False,1
bceab,True,False,False,False,1
bceb,True,False,False,False,1
bceba,True,False,False,False,1
bcer,True,False,False,False,1
bces,True,False,False,False,1
bcesr,True,False,False,False,1
bci,False,False,True,False,1
bcii,False,False,True,False,1
bciii,False,False,True,False,1
bcr-1,False,False,True,False,1
bcr1,True,False,False,False,1
bcra,True,False,True,True,3
bcrb,True,False,True,False,2
bcrc,True,False,True,False,2
bcrd,True,False,False,False,1
bcrr,True,False,False,False,1
bepc,True,False,False,True,2
bepd,False,False,False,True,1
bepde,True,False,False,False,1
bepe,True,False,False,True,2
bepf,True,False,False,True,2
bepfg,True,False,False,False,1
bepg,True,False,False,True,2
besc,True,False,False,False,1
betb,True,False,False,False,1
bexa,True,False,False,True,2
bexb,True,False,False,False,1
bgla,True,False,False,False,1
bhsa,True,False,False,False,1
biga,True,False,False,False,1
biob,True,False,False,False,1
bira,True,False,False,False,1
bla,True,False,True,True,3
bla(imp-1-like),True,False,False,False,1
bla(oxa-23-like),True,False,False,False,1
bla(oxa-51-like),True,False,False,False,1
bla(oxa48),True,False,False,False,1
bla1,True,False,True,False,2
bla2,True,False,True,True,3
bla2_lvs,True,False,False,False,1
bla2a,False,False,True,True,2
bla3,True,False,False,False,1
bla4,True,False,False,False,1
bla[170-170],True,False,False,False,1
bla_adc.25,True,False,False,False,1
bla_ctxm15,True,False,False,False,1
bla_oxa-23-like,True,False,False,False,1
bla_oxa-24-like,True,False,False,False,1
bla_oxa-48-like,True,False,False,False,1
bla_oxa-51-like,True,False,False,False,1
bla_oxa-55-like,True,False,False,False,1
bla_oxa-58-like,True,False,False,False,1
bla_pena1,True,False,False,False,1
bla_pse1,True,False,False,False,1
bla_tem1,True,False,False,False,1
bla_tem1b,True,False,False,False,1
blaa,True,True,True,True,4
blaa1,True,False,False,False,1
blaa2,True,False,False,False,1
blaa42g,True,False,False,False,1
blaaak,False,False,True,True,2
blaacc,True,True,True,True,4
blaaci,True,True,True,True,4
blaact,True,True,True,True,4
blaact1,True,False,False,False,1
blaact58,True,False,False,False,1
blaadc,True,True,True,True,4
blaadc-25-like,True,False,False,False,1
blaadc-52-like,True,False,False,False,1
blaadc35,True,False,False,False,1
blaadc−117,True,False,False,False,1
blaadc−80,True,False,False,False,1
blaaer,False,True,True,True,3
blaafm,True,False,True,True,3
blaahm,False,False,False,True,1
blaaim,True,False,True,True,3
blaalg11,True,False,True,True,3
blaalg6,True,False,True,True,3
blaali,False,False,True,True,2
blaamz,True,False,True,True,3
blaana,False,False,True,True,2
blaapo,False,False,False,True,1
blaaqu,True,False,True,True,3
blaarl,True,False,True,True,3
blaasdc,False,False,False,True,1
blaast,True,True,True,True,4
blaasu1,False,False,True,True,2
blaavdc,False,False,False,True,1
blaaxc,True,False,True,True,3
blab,True,True,True,True,4
blab1pedo,True,True,True,True,4
blab2,True,False,False,False,1
blab3pedo,True,True,True,True,4
blab3su1,True,False,True,True,3
blab3su2,False,False,True,True,2
blabat,False,False,True,True,2
blabbi,False,False,False,True,1
blabcl,True,False,True,True,3
blabel,True,True,True,True,4
blabel4,False,True,False,False,1
blabes,True,True,True,True,4
blabic,True,True,True,True,4
blabim,True,True,True,True,4
blabjp,False,False,True,True,2
blabkc,True,True,True,True,4
blabmhc,False,False,True,True,2
blabor,True,False,True,True,3
blabpu,False,False,True,True,2
blabro,True,True,True,True,4
blabsu,False,False,True,True,2
blabut,False,False,True,True,2
blac,True,False,True,True,3
blac1,True,False,False,False,1
blacae,True,False,True,True,3
blacam,True,True,True,True,4
blacar,True,False,True,True,3
blacarb,True,True,True,True,4
blacarb-5-like,True,False,False,False,1
blacarb-9 -like,True,False,False,False,1
blacarb-9-like,True,False,False,False,1
blacarba,True,False,False,False,1
blacarb−3,True,False,False,False,1
blacau,True,False,True,True,3
blacbp,False,False,True,True,2
blacbp-1-like,True,False,False,False,1
blacda,False,False,True,True,2
blacdd,True,False,True,True,3
blacdd2,True,False,False,False,1
blaceph-a3,False,True,False,False,1
blacess,False,False,False,True,1
blacfe,True,True,True,True,4
blacga,True,False,True,True,3
blacha,False,False,False,True,1
blachc,False,False,False,True,1
blachm,False,False,True,True,2
blacia,True,False,True,True,3
blacim,True,False,True,True,3
blacko,True,True,True,True,4
blacma,True,False,True,True,3
blacme,True,True,True,True,4
blacmg,False,True,False,False,1
blacmh,True,True,True,True,4
blacmy,True,True,True,True,4
blacmy 2,True,False,False,False,1
blacmy − 116,True,False,False,False,1
blacmy − 117,True,False,False,False,1
blacmy − 79,True,False,False,False,1
blacmy-1-like,True,False,False,False,1
blacmy-2 -like,True,False,False,False,1
blacmy-2-like,True,False,False,False,1
blacmy-2-type,True,False,False,False,1
blacmy-2–like,True,False,False,False,1
blacmy1,True,False,False,False,1
blacmy2,True,False,False,False,1
blacmy2–lat,True,False,False,False,1
blacmy_2,True,False,False,False,1
blacmy−111,True,False,False,False,1
blacmy−2,True,False,False,False,1
blacmy−4,True,False,False,False,1
blacmy−59,True,False,False,False,1
blacor,False,False,False,True,1
blacps,True,False,True,True,3
blacrd3,True,False,True,True,3
blacrh,True,False,True,True,3
blacrp,True,False,True,True,3
blacsa,True,False,True,True,3
blacsp,True,True,True,True,4
blacsp(1),True,False,False,False,1
blacsr,False,False,False,True,1
blactx − m −1,True,False,False,False,1
blactx − m −15,True,False,False,False,1
blactx-m,True,True,True,True,4
blactx-m-1 -group,True,False,False,False,1
blactx-m-1-group,True,False,False,False,1
blactx-m-14-like,True,False,False,False,1
blactx-m-15-group,True,False,False,False,1
