pmid	doi	publisher_family	followup_status	journal	title
98355		Unclassified	abstract_only_no_fulltext_candidate	Fertility and sterility	From Fallopius to fantasy.
108177		Unclassified	abstract_only_no_fulltext_candidate	Gastroenterology	Gastric emptying of lipids after ingestion of an homogenized meal.
127609	10.1111/j.1365-2141.1975.tb00526.x	Wiley	abstract_only_with_pdf_candidate	British journal of haematology	Lead and the red cell.
275724	10.1080/00480169.1977.34410	Unclassified	abstract_only_with_pdf_candidate	New Zealand veterinary journal	Aspects of reproduction in New Zealand dairy herds. 2. Calving interval, breeding period and non-pregnancy rates.
300657		Unclassified	abstract_only_no_fulltext_candidate	Ceskoslovenska radiologie	[Isolated varices of the fundus and duodenum of the stomach as a source of bleeding into the digestive tract (author's transl)].
344278		Unclassified	abstract_only_no_fulltext_candidate	Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete	[Skin changes in art. I. Examples from the Germanistic National Museum in Nürnberg].
351073	10.1093/infdis/137.5.597	OUP	abstract_only_with_pdf_candidate	The Journal of infectious diseases	A double-blind, controlled trial of levamisole in the treatment of recurrent herpes labialis.
381975		Unclassified	abstract_only_no_fulltext_candidate	The Milbank Memorial Fund quarterly. Health and society	From reform to relativism: commentary.
532633		Unclassified	abstract_only_no_fulltext_candidate	Yao xue xue bao = Acta pharmaceutica Sinica	[Investigations on the influence of L-DOPA on experimental epilepsy (author's transl)].
793818		Unclassified	abstract_only_no_fulltext_candidate	DTW. Deutsche tierarztliche Wochenschrift	[Reproduction problems within the scope of artificial insemination in the horse].
878791		Unclassified	abstract_only_no_fulltext_candidate	Acta chirurgica Iugoslavica	[Results of conservative treatment of malleolar fractures].
952781	10.1111/j.1471-0528.1976.tb00882.x	Wiley	abstract_only_with_pdf_candidate	British journal of obstetrics and gynaecology	Concentrations of free fatty acids in maternal and umbilical cord blood during elective Caesarean section.
983549		Unclassified	abstract_only_no_fulltext_candidate	Zentralblatt fur Bakteriologie, Parasitenkunde, Infektionskrankheiten und Hygiene. Erste Abteilung Originale. Reihe B: Hygiene, praventive Medizin	[Increase of connective tissue in rat hearts under exposure to noise and with magnesium deficiency (author's transl)].
1048253		Unclassified	abstract_only_no_fulltext_candidate	[Hokenfu zasshi] The Japanese journal for public health nurse	[Health problems of workers: the role of public health nursing. A discussion].
1063935		Unclassified	abstract_only_no_fulltext_candidate	The New Zealand medical journal	Letter: Preventing allergies caused by airborne particles.
1081773	10.1055/s-0028-1097016	Unclassified	abstract_only_with_pdf_candidate	Thoraxchirurgie, vaskulare Chirurgie	[Surgical treatment of coronary heart disease (author's transl)].
1157715		Unclassified	abstract_only_no_fulltext_candidate	Deutsche medizinische Wochenschrift (1946)	[Autopsy without consent].
1173537		Unclassified	abstract_only_no_fulltext_candidate	Acta pharmaceutica Suecica	Proceedings: Changes of pharmacokinetic parameters of new antiinflammatory drugs influenced by drug interaction.
1185024		Unclassified	abstract_only_no_fulltext_candidate	The Journal of the Kansas Medical Society	Nail-Patella Syndrome. A report of a Kansas family.
1212191		Unclassified	abstract_only_no_fulltext_candidate	Berliner und Munchener tierarztliche Wochenschrift	[Deep-frozen sperm insemination in the horse: a study under practice stud conditions].
1238435	10.1037/h0077177	Unclassified	abstract_only_with_pdf_candidate	Journal of comparative and physiological psychology	Conspecific aggression in the laboratory rat.
1238438	10.1037/h0077063	Unclassified	abstract_only_with_pdf_candidate	Journal of comparative and physiological psychology	Isolation-induced aggression in newly hatched ducklings.
1265429		Unclassified	abstract_only_no_fulltext_candidate	Sbornik lekarsky	[Effect of asphyxia on respiration and heart rate in the rat under ether anaesthesia, under pentobarbital anaesthesia and after adrenalectomy (ontogenetic aspect) (author's transl)].
1265473	10.1177/003693307502000513	SAGE	abstract_only_with_pdf_candidate	Scottish medical journal	The serum half-life and urine concentrations of cephazolin sodium in patients with terminal renal failure: effect of haemodialysis.
1269394		Unclassified	abstract_only_no_fulltext_candidate	Doklady Akademii nauk SSSR	[Relative effectiveness of fast and intermediate neutrons in causing chromosome aberrations in human lymphocytes].
1270568	10.1093/chromsci/14.6.296	OUP	abstract_only_with_pdf_candidate	Journal of chromatographic science	Constituents of peppers: IV. The hydrocarbons of pepper essential oil.
1328814	10.1111/j.1365-2958.1992.tb01404.x	Wiley	abstract_only_with_pdf_candidate	Molecular microbiology	Activation of a cryptic streptomycin-resistance gene in the Bacteroides erm transposon, Tn4551.
1330820	10.1016/0378-1097(92)90386-3	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology letters	Cloning and nucleotide sequence of the Pseudomonas aeruginosa nfxB gene, conferring resistance to new quinolones.
1406276	10.1111/j.1365-2958.1992.tb01412.x	Wiley	abstract_only_with_pdf_candidate	Molecular microbiology	The plasmid-encoded chloramphenicol-resistance protein of Rhodococcus fascians is homologous to the transmembrane tetracycline efflux proteins.
1451064	10.1002/1097-0142(19921215)70:12<2835::aid-cncr2820701219>3.0.co;2-u	Wiley	abstract_only_with_pdf_candidate	Cancer	Pelvic exenteration for the treatment of vulvar cancer.
1490918	10.1093/jac/30.4.449	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Clinical isolates of Escherichia coli producing TRI beta-lactamases: novel TEM-enzymes conferring resistance to beta-lactamase inhibitors.
1495394	10.1111/j.1365-2958.1992.tb00894.x	Wiley	abstract_only_with_pdf_candidate	Molecular microbiology	Phylogeny of LCR-1 and OXA-5 with class A and class D beta-lactamases.
1508047	10.1111/j.1365-2958.1992.tb01374.x	Wiley	abstract_only_with_pdf_candidate	Molecular microbiology	Characterization of a novel regulatory gene governing the expression of a polyketide synthase gene in Streptomyces ambofaciens.
1569089		Unclassified	abstract_only_no_fulltext_candidate	The Journal of biological chemistry	Identification of a single base change in ribosomal RNA leading to erythromycin resistance.
1612706		Unclassified	abstract_only_no_fulltext_candidate	L' Information dentaire	[Treatment in general practice of a complex periodontitis case].
1662753	10.1111/j.1365-2958.1991.tb00817.x	Wiley	abstract_only_with_pdf_candidate	Molecular microbiology	Site-specific insertion of genes into integrons: role of the 59-base element and determination of the recombination cross-over point.
1662755	10.1111/j.1365-2958.1991.tb00826.x	Wiley	abstract_only_with_pdf_candidate	Molecular microbiology	Evolved neomycin phosphotransferase from an isolate of Klebsiella pneumoniae.
1664906	10.1111/j.1365-2958.1991.tb00798.x	Wiley	abstract_only_with_pdf_candidate	Molecular microbiology	Mutations in the aphA-2 gene of transposon Tn5 mapping within the regions highly conserved in aminoglycoside-phosphotransferases strongly reduce aminoglycoside resistance.
1676919		Unclassified	abstract_only_no_fulltext_candidate	Blood	Expression of the HOX-2.3 homeobox gene in human lymphocytes and lymphoid tissues.
1680143	10.1080/09553009114552451	Unclassified	abstract_only_with_pdf_candidate	International journal of radiation biology	Chromosomal aberration induction in CHO cells by combined exposure to restriction enzymes and X-rays.
1680145	10.1080/09553009114552471	Unclassified	abstract_only_with_pdf_candidate	International journal of radiation biology	Caffeine and D2O medium interact in affecting the expression of radiation-induced potentially lethal damage.
1728454	10.1161/01.cir.85.1.223	Unclassified	abstract_only_with_pdf_candidate	Circulation	Capillary recruitment and pain relief on leg dependency in patients with severe lower limb ischemia.
1730292	10.1016/0014-5793(92)80403-4	Wiley	abstract_only_with_pdf_candidate	FEBS letters	Primary structure of rat pancreatic lipase mRNA.
1737687	10.1111/j.1365-4362.1992.tb03518.x	Wiley	abstract_only_with_pdf_candidate	International journal of dermatology	Differentiation of bullous pemphigoid from epidermolysis bullosa acquisita on frozen skin biopsies.
1804759	10.1016/0378-1097(91)90367-j	Wiley	abstract_only_with_html_candidate	FEMS microbiology letters	Anaerobic degradation of 3-hydroxybenzoate by a newly isolated nitrate-reducing bacterium.
1809836	10.1111/j.1365-2958.1991.tb01852.x	Wiley	abstract_only_with_pdf_candidate	Molecular microbiology	Characterization of an oxytetracycline-resistance gene, otrA, of Streptomyces rimosus.
1839104		Unclassified	abstract_only_no_fulltext_candidate	Zeitschrift fur Kardiologie	[Cardiac peptides and their importance in heart failure].
1850092		Unclassified	abstract_only_no_fulltext_candidate	Molecular pharmacology	2,3,7,8-Tetrachlorodibenzo-p-dioxin stimulation of tyrosine phosphorylation in B lymphocytes: potential role in immunosuppression.
